complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
MIS_receptor_3,Q16671,Q04771,,,,Q04771_Q16671,AMHR2,ACVR1,,,
NKG2D_II_receptor,P26718,Q9UBK5,,,,P26718_Q9UBK5,NKG2D,HCST,,,
NODAL_receptor_IbIIa_CFC1,P36896,P27037,P0CG37,,,P0CG37_P27037_P36896,ACV1B,AVR2A,CFC1,,
NODAL_receptor_IbIIa_TDGF1,P36896,P27037,P13385,,,P13385_P27037_P36896,ACV1B,AVR2A,TDGF1,,
NODAL_receptor_IbIIb_CFC1,P36896,Q13705,P0CG37,,,P0CG37_P36896_Q13705,ACV1B,AVR2B,CFC1,,
NODAL_receptor_IbIIb_TDGF1,P36896,Q13705,P13385,,,P13385_P36896_Q13705,ACV1B,AVR2B,TDGF1,,
NODAL_receptor_IcIIb_CFC1,Q8NER5,Q13705,P0CG37,,,P0CG37_Q13705_Q8NER5,ACV1C,AVR2B,CFC1,,
NODAL_receptor_IcIIb_TDGF1,Q8NER5,Q13705,P13385,,,P13385_Q13705_Q8NER5,ACV1C,AVR2B,TDGF1,,
OSMR,Q99650,P40189,,,,P40189_Q99650,OSMR,IL6RB,,,
PDGFR_complex,P16234,P09619,,,,P09619_P16234,PGFRA,PGFRB,,,
pL1:Ezrin,P15311,P32004,,,,P15311_P32004,EZRI,L1CAM,,,
PlexinA1_complex1,Q9UIW2,P35968,,,,P35968_Q9UIW2,PLXA1,VGFR2,,,
PlexinA1_complex2,Q9UIW2,Q9NZC2,O43914,,,O43914_Q9NZC2_Q9UIW2,PLXA1,TREM2,TYOBP,,
PlexinA1_complex3,O14786,Q9UIW2,,,,O14786_Q9UIW2,NRP1,PLXA1,,,
PlexinA2_complex1,O14786,O75051,,,,O14786_O75051,NRP1,PLXA2,,,
PlexinA3_complex1,O14786,P51805,,,,O14786_P51805,NRP1,PLXA3,,,
PlexinA4_complex1,O14786,Q9HCM2,,,,O14786_Q9HCM2,NRP1,PLXA4,,,
Pregnenolone_byCYP11A1,P05108,Q6P4F2,P10109,P22570,,P05108_P10109_P22570_Q6P4F2,CP11A,FDX2,ADX,ADRO,
Progesterone_byHSD3B1,P14060,,,,,P14060,3BHS1,,,,
Prostacyclin_byPTGIS,Q16647,,,,,Q16647,PTGIS,,,,
ProstaglandinD2_byAKR1C3,P42330,,,,,P42330,AK1C3,,,,
ProstaglandinE2_byPTGES,O14684,,,,,O14684,PTGES,,,,
ProstaglandinE2_byPTGES2,Q9H7Z7,,,,,Q9H7Z7,PGES2,,,,
ProstaglandinE2_byPTGES3,Q15185,,,,,Q15185,TEBP,,,,
ProstaglandinF2a_byAKR1B1,P15121,,,,,P15121,ALDR,,,,
ProstaglandinF2a_byCBR1,P16152,,,,,P16152,CBR1,,,,
ProstaglandinF2a_byPRXL2B,Q8TBF2,,,,,Q8TBF2,PXL2B,,,,
PTCH_BOC_transmembrane_receptor,Q13635,Q9BWV1,,,,Q13635_Q9BWV1,PTC1,BOC,,,
PTCH_CDON_transmembrane_receptor,Q13635,Q4KMG0,,,,Q13635_Q4KMG0,PTC1,CDON,,,
PTCH_GAS1_transmembrane_receptor,Q13635,P54826,,,,P54826_Q13635,PTC1,GAS1,,,
PTCH2_BOC_transmembrane_receptor,Q9Y6C5,Q9BWV1,,,,Q9BWV1_Q9Y6C5,PTC2,BOC,,,
PTCH2_CDON_transmembrane_receptor,Q9Y6C5,Q4KMG0,,,,Q4KMG0_Q9Y6C5,PTC2,CDON,,,
PTCH2_GAS1_transmembrane_receptor,Q9Y6C5,P54826,,,,P54826_Q9Y6C5,PTC2,GAS1,,,
RAMP1_complex,Q16602,O60894,,,,O60894_Q16602,CALRL,RAMP1,,,
RAMP2_complex,Q16602,O60895,,,,O60895_Q16602,CALRL,RAMP2,,,
RAMP3_complex,O60896,Q16602,Q99527,,,O60896_Q16602_Q99527,RAMP3,CALRL,GPER1,,
RAreceptor_RXRA,P19793,P29373,,,,P19793_P29373,RXRA,RABP2,,,
RAreceptor_RXRB,P28702,P29373,,,,P28702_P29373,RXRB,RABP2,,,
RAreceptor_RXRG,P48443,P29373,,,,P29373_P48443,RXRG,RABP2,,,
RAreceptor_RARA,P10276,P29373,,,,P10276_P29373,RARA,RABP2,,,
RAreceptor_RARB,P10826,P29373,,,,P10826_P29373,RARB,RABP2,,,
RAreceptor_RARG,P13631,P29373,,,,P13631_P29373,RARG,RABP2,,,
RAreceptor_RARA_RXRA,P10276,P19793,P29373,,,P10276_P19793_P29373,RARA,RXRA,RABP2,,
RAreceptor_RARB_RXRB,P10826,P28702,P29373,,,P10826_P28702_P29373,RARB,RXRB,RABP2,,
RAreceptor_RARG_RXRG,P13631,P48443,P29373,,,P13631_P29373_P48443,RARG,RXRG,RABP2,,
RET_receptor_1,P07949,P56159,,,,P07949_P56159,RET,GFRA1,,,
RET_receptor_2,P07949,O00451,,,,O00451_P07949,RET,GFRA2,,,
RET_receptor_3,P07949,O60609,,,,O60609_P07949,RET,GFRA3,,,
RET_receptor_4,P07949,Q9GZZ7,,,,P07949_Q9GZZ7,RET,GFRA4,,,
SerotoninDopamin_byDDC,P20711,,,,,P20711,DDC,,,,
SIRB1_complex,O00241,O43914,,,,O00241_O43914,SIRB1,TYOBP,,,
SLC16A1_complex,P35613,P53985,,,,P35613_P53985,BASI,MOT1,,,
Testosterone_byAKR1D1,P51857,,,,,P51857,AK1D1,,,,
Testosterone_byHSD17B12,Q53GQ0,,,,,Q53GQ0,DHB12,,,,
Testosterone_byHSD17B3,P37058,,,,,P37058,DHB3,,,,
TGFbeta_receptor1,P36897,P37173,,,,P36897_P37173,TGFR1,TGFR2,,,
TGFbeta_receptor2,P37173,Q04771,,,,P37173_Q04771,TGFR2,ACVR1,,,
TGFR_AVR2A,P36897,P27037,,,,P27037_P36897,TGFR1,AVR2A,,,
TGFR_AVR2B,P36897,Q13705,,,,P36897_Q13705,TGFR1,AVR2B,,,
TGFR_BMPR2,P36897,Q13873,,,,P36897_Q13873,TGFR1,BMPR2,,,
ThromboxaneA2_byTBXAS1,P24557,,,,,P24557,THAS,,,,
